Name,Color,Image,RGB,Undertone
New York Super Stay Matte Ink Liquid Lipstick 130 Self Starter,"[[164.0, 59.0, 92.0]]",New York Super Stay Matte Ink Liquid Lipstick -130 Self Starter-Savant.jpg,"[164.0, 59.0, 92.0]",warm
New York Super Stay Matte Ink Liquid Lipstick 130 Self Starter,"[[185.71517027863777, 93.85242518059854, 106.78482972136223]]",New York Super Stay Matte Ink Liquid Lipstick -130 Self Starter-Lover.jpg,"[185.71517027863777, 93.85242518059854, 106.78482972136223]",cool
New York Super Stay Matte Ink Liquid Lipstick 130 Self Starter,"[[134.0, 61.0, 80.0]]",New York Super Stay Matte Ink Liquid Lipstick -130 Self Starter-Pathfinder.jpg,"[134.0, 61.0, 80.0]",warm
New York Super Stay Matte Ink Liquid Lipstick 130 Self Starter,"[[131.33316666666667, 16.227666666666668, 20.959333333333333]]",New York Super Stay Matte Ink Liquid Lipstick -130 Self Starter-Pioneer.jpg,"[131.33316666666667, 16.227666666666668, 20.959333333333333]",warm
New York Super Stay Matte Ink Liquid Lipstick 130 Self Starter,"[[163.0, 100.0, 119.0]]",New York Super Stay Matte Ink Liquid Lipstick -130 Self Starter-Revolutionary.jpg,"[163.0, 100.0, 119.0]",cool
New York Super Stay Matte Ink Liquid Lipstick 130 Self Starter,"[[161.0, 68.0, 51.0]]",New York Super Stay Matte Ink Liquid Lipstick -130 Self Starter-Fighter 75.jpg,"[161.0, 68.0, 51.0]",warm
New York Super Stay Matte Ink Liquid Lipstick 130 Self Starter,"[[199.0, 45.0, 71.0]]",New York Super Stay Matte Ink Liquid Lipstick -130 Self Starter-Ambitious.jpg,"[199.0, 45.0, 71.0]",warm
New York Super Stay Matte Ink Liquid Lipstick 130 Self Starter,"[[183.0, 37.0, 60.0]]",New York Super Stay Matte Ink Liquid Lipstick -130 Self Starter-Ruler.jpg,"[183.0, 37.0, 60.0]",warm
New York Super Stay Matte Ink Liquid Lipstick 130 Self Starter,"[[114.0, 33.0, 65.0]]",New York Super Stay Matte Ink Liquid Lipstick -130 Self Starter-Transformer 230.jpg,"[114.0, 33.0, 65.0]",warm
New York Super Stay Matte Ink Liquid Lipstick 130 Self Starter,"[[132.0, 23.0, 46.0]]",New York Super Stay Matte Ink Liquid Lipstick -130 Self Starter-FOUNDER.jpg,"[132.0, 23.0, 46.0]",warm
New York Super Stay Matte Ink Liquid Lipstick 130 Self Starter,"[[150.0, 5.0, 60.0]]",New York Super Stay Matte Ink Liquid Lipstick -130 Self Starter-Artist 120.jpg,"[150.0, 5.0, 60.0]",warm
New York Super Stay Matte Ink Liquid Lipstick 130 Self Starter,"[[136.0, 42.0, 42.0]]",New York Super Stay Matte Ink Liquid Lipstick -130 Self Starter-seeker.jpg,"[136.0, 42.0, 42.0]",warm
New York Super Stay Matte Ink Liquid Lipstick 130 Self Starter,"[[147.0, 47.0, 15.0]]",New York Super Stay Matte Ink Liquid Lipstick -130 Self Starter-GLOBETROTTER.jpg,"[147.0, 47.0, 15.0]",warm
New York Super Stay Matte Ink Liquid Lipstick 130 Self Starter,"[[193.0, 40.0, 35.0]]",New York Super Stay Matte Ink Liquid Lipstick -130 Self Starter-Dancer 118.jpg,"[193.0, 40.0, 35.0]",warm
New York Super Stay Matte Ink Liquid Lipstick 130 Self Starter,"[[148.0, 53.0, 59.0]]",New York Super Stay Matte Ink Liquid Lipstick -130 Self Starter-Initiator.jpg,"[148.0, 53.0, 59.0]",warm
New York Super Stay Matte Ink Liquid Lipstick 130 Self Starter,"[[148.0, 28.0, 30.0]]",New York Super Stay Matte Ink Liquid Lipstick -130 Self Starter-Assertive.jpg,"[148.0, 28.0, 30.0]",warm
New York Super Stay Matte Ink Liquid Lipstick 130 Self Starter,"[[171.0, 67.0, 58.0]]",New York Super Stay Matte Ink Liquid Lipstick -130 Self Starter-Amazonian.jpg,"[171.0, 67.0, 58.0]",warm
New York Super Stay Matte Ink Liquid Lipstick 130 Self Starter,"[[166.0, 83.0, 91.0]]",New York Super Stay Matte Ink Liquid Lipstick -130 Self Starter-SELF STARTER.jpg,"[166.0, 83.0, 91.0]",cool
New York Super Stay Matte Ink Liquid Lipstick 130 Self Starter,"[[159.0, 57.0, 71.0]]",New York Super Stay Matte Ink Liquid Lipstick -130 Self Starter-Delicate 225.jpg,"[159.0, 57.0, 71.0]",warm
New York Super Stay Matte Ink Liquid Lipstick 130 Self Starter,"[[156.0, 44.0, 43.0]]",New York Super Stay Matte Ink Liquid Lipstick -130 Self Starter-Versatile 210.jpg,"[156.0, 44.0, 43.0]",warm
Mini Matte Lipstick  Mehr 1.8 g,"[[186.13333333333335, 71.497, 64.10733333333332]]",Mini Matte Lipstick - Mehr 1.8 g-Chili.jpg,"[186.13333333333335, 71.497, 64.10733333333332]",warm
Mini Matte Lipstick  Mehr 1.8 g,"[[176.59816666666666, 51.672666666666665, 75.02000000000001]]",Mini Matte Lipstick - Mehr 1.8 g-D For Danger.jpg,"[176.59816666666666, 51.672666666666665, 75.02000000000001]",warm
Mini Matte Lipstick  Mehr 1.8 g,"[[201.0, 4.0, 73.0]]",Mini Matte Lipstick - Mehr 1.8 g-All Fired Up.jpg,"[201.0, 4.0, 73.0]",warm
Mini Matte Lipstick  Mehr 1.8 g,"[[156.49983333333336, 95.49983333333336, 102.49983333333336]]",Mini Matte Lipstick - Mehr 1.8 g-Whirl.jpg,"[156.49983333333336, 95.49983333333336, 102.49983333333336]",cool
Mini Matte Lipstick  Mehr 1.8 g,"[[252.0, 64.0, 65.0]]",Mini Matte Lipstick - Mehr 1.8 g-Tropic Tonic.jpg,"[252.0, 64.0, 65.0]",warm
Mini Matte Lipstick  Mehr 1.8 g,"[[202.0, 44.0, 67.0]]",Mini Matte Lipstick - Mehr 1.8 g-Ruby Woo.jpg,"[202.0, 44.0, 67.0]",warm
Mini Matte Lipstick  Mehr 1.8 g,"[[230.82333333333335, 145.63583333333335, 154.32333333333335]]",Mini Matte Lipstick - Mehr 1.8 g-Mehr.jpg,"[230.82333333333335, 145.63583333333335, 154.32333333333335]",cool
Mini Matte Lipstick  Mehr 1.8 g,"[[223.0, 82.0, 91.0]]",Mini Matte Lipstick - Mehr 1.8 g-Russian Red.jpg,"[223.0, 82.0, 91.0]",warm
Mini Matte Lipstick  Mehr 1.8 g,"[[235.83183333333335, 38.573833333333326, 3.759666666666668]]",Mini Matte Lipstick - Mehr 1.8 g-Lady Danger.jpg,"[235.83183333333335, 38.573833333333326, 3.759666666666668]",warm
Mini Matte Lipstick  Mehr 1.8 g,"[[222.18366666666665, 133.23066666666665, 113.16566666666668]]",Mini Matte Lipstick - Mehr 1.8 g-Velvet Teddy.jpg,"[222.18366666666665, 133.23066666666665, 113.16566666666668]",cool
Mini Matte Lipstick  Mehr 1.8 g,"[[122.0856666666667, 22.747166666666654, 75.48300000000003]]",Mini Matte Lipstick - Mehr 1.8 g-Flat Out Fabulous.jpg,"[122.0856666666667, 22.747166666666654, 75.48300000000003]",warm
Mini Matte Lipstick  Mehr 1.8 g,"[[241.37916666666666, 119.26166666666667, 118.894]]",Mini Matte Lipstick - Mehr 1.8 g-Runway Hit.jpg,"[241.37916666666666, 119.26166666666667, 118.894]",warm
Mini Matte Lipstick  Mehr 1.8 g,"[[103.44099999999999, 40.51233333333332, 50.49566666666666]]",Mini Matte Lipstick - Mehr 1.8 g-Diva.jpg,"[103.44099999999999, 40.51233333333332, 50.49566666666666]",warm
