,Name,Image,Shade,Color
1972,Ultra Definition Liquid Foundation Sundae 30 ml,Ultra Definition Liquid Foundation- Sundae 30 ml-Pecan.jpg,Pecan,"[[212.77272727272728, 172.71212121212122, 131.90909090909088]]"
1973,Ultra Definition Liquid Foundation Sundae 30 ml,Ultra Definition Liquid Foundation- Sundae 30 ml-Brownie.jpg,Brownie,"[[133.94736842105263, 91.26973684210525, 53.33552631578948]]"
1974,Ultra Definition Liquid Foundation Sundae 30 ml,Ultra Definition Liquid Foundation- Sundae 30 ml-Beige.jpg,Beige,"[[188.5, 153.51477832512316, 115.45073891625613]]"
1975,Ultra Definition Liquid Foundation Sundae 30 ml,Ultra Definition Liquid Foundation- Sundae 30 ml-Beige Caramel.jpg,Beige Caramel,"[[176.4916512059369, 133.734693877551, 88.9220779220779]]"
1976,Ultra Definition Liquid Foundation Sundae 30 ml,Ultra Definition Liquid Foundation- Sundae 30 ml-Milk Cake.jpg,Milk Cake,"[[190.2739212007505, 159.13320825515945, 136.77861163227016]]"
1977,Ultra Definition Liquid Foundation Sundae 30 ml,Ultra Definition Liquid Foundation- Sundae 30 ml-Pralines Cake.jpg,Pralines Cake,"[[191.27945205479455, 157.88310502283105, 120.2922374429224]]"
1978,Ultra Definition Liquid Foundation Sundae 30 ml,Ultra Definition Liquid Foundation- Sundae 30 ml-Cheese Cake.jpg,Cheese Cake,"[[186.87281553398054, 168.46213592233005, 144.5320388349515]]"
1979,Ultra Definition Liquid Foundation Sundae 30 ml,Ultra Definition Liquid Foundation- Sundae 30 ml-Peanut Butter.jpg,Peanut Butter,"[[207.47099236641222, 157.61603053435115, 96.02595419847324]]"
1980,Ultra Definition Liquid Foundation Sundae 30 ml,Ultra Definition Liquid Foundation- Sundae 30 ml-Chocolate Mousse.jpg,Chocolate Mousse,"[[230.95652173913044, 185.3478260869565, 156.2608695652174]]"
1981,Ultra Definition Liquid Foundation Sundae 30 ml,Ultra Definition Liquid Foundation- Sundae 30 ml-Honey.jpg,Honey,"[[226.17142857142855, 194.90857142857143, 158.22857142857143]]"
1982,Ultra Definition Liquid Foundation Sundae 30 ml,Ultra Definition Liquid Foundation- Sundae 30 ml-Fudge.jpg,Fudge,"[[215.03311258278146, 171.70860927152316, 116.17880794701986]]"
1983,Ultra Definition Liquid Foundation Pecan 30 ml,Ultra Definition Liquid Foundation- Pecan 30 ml-Pecan.jpg,Pecan,"[[212.77272727272728, 172.71212121212122, 131.90909090909088]]"
1984,Ultra Definition Liquid Foundation Pecan 30 ml,Ultra Definition Liquid Foundation- Pecan 30 ml-Brownie.jpg,Brownie,"[[133.94736842105263, 91.26973684210525, 53.33552631578948]]"
1985,Ultra Definition Liquid Foundation Pecan 30 ml,Ultra Definition Liquid Foundation- Pecan 30 ml-Beige.jpg,Beige,"[[188.5, 153.51477832512316, 115.45073891625613]]"
1986,Ultra Definition Liquid Foundation Pecan 30 ml,Ultra Definition Liquid Foundation- Pecan 30 ml-Beige Caramel.jpg,Beige Caramel,"[[176.4916512059369, 133.734693877551, 88.9220779220779]]"
1987,Ultra Definition Liquid Foundation Pecan 30 ml,Ultra Definition Liquid Foundation- Pecan 30 ml-Milk Cake.jpg,Milk Cake,"[[190.2739212007505, 159.13320825515945, 136.77861163227016]]"
1988,Ultra Definition Liquid Foundation Pecan 30 ml,Ultra Definition Liquid Foundation- Pecan 30 ml-Pralines Cake.jpg,Pralines Cake,"[[191.27945205479455, 157.88310502283105, 120.2922374429224]]"
1989,Ultra Definition Liquid Foundation Pecan 30 ml,Ultra Definition Liquid Foundation- Pecan 30 ml-Cheese Cake.jpg,Cheese Cake,"[[186.87281553398054, 168.46213592233005, 144.5320388349515]]"
1990,Ultra Definition Liquid Foundation Pecan 30 ml,Ultra Definition Liquid Foundation- Pecan 30 ml-Peanut Butter.jpg,Peanut Butter,"[[207.47099236641222, 157.61603053435115, 96.02595419847324]]"
1991,Ultra Definition Liquid Foundation Pecan 30 ml,Ultra Definition Liquid Foundation- Pecan 30 ml-Chocolate Mousse.jpg,Chocolate Mousse,"[[230.95652173913044, 185.3478260869565, 156.2608695652174]]"
1992,Ultra Definition Liquid Foundation Pecan 30 ml,Ultra Definition Liquid Foundation- Pecan 30 ml-Honey.jpg,Honey,"[[226.17142857142855, 194.90857142857143, 158.22857142857143]]"
