,Name,Image,Shade,Color
430,Ultime Pro Hd Runway Ready Foundation Olive Beige 05 30 mlIvory 01.jpg,Ultime Pro Hd Runway Ready Foundation Olive Beige 05 30 ml-Ivory 01.jpg,Ivory 01,"[[194.0, 162.0, 130.0]]"
431,Ultime Pro Hd Runway Ready Foundation Olive Beige 05 30 mlAlmond Beige 06.jpg,Ultime Pro Hd Runway Ready Foundation Olive Beige 05 30 ml-Almond Beige 06.jpg,Almond Beige 06,"[[207.0, 149.0, 105.0]]"
432,9To5 Primer & Matte Perfect Cover Foundation  Warm Caramel W320 25 ml,9To5 Primer & Matte Perfect Cover Foundation - Warm Caramel W320 25 ml-Cool Tan C280.jpg,Cool Tan C280,"[[199.0, 146.0, 106.0]]"
433,9To5 Primer & Matte Perfect Cover Foundation  Warm Caramel W320 25 ml,9To5 Primer & Matte Perfect Cover Foundation - Warm Caramel W320 25 ml-Cool Rose C140.jpg,Cool Rose C140,"[[235.010764262648, 181.98062432723358, 147.0301399354144]]"
434,9To5 Primer & Matte Perfect Cover Foundation  Warm Caramel W320 25 ml,9To5 Primer & Matte Perfect Cover Foundation - Warm Caramel W320 25 ml-Warm Caramel.jpg,Warm Caramel,"[[195.0, 148.0, 102.0]]"
435,9To5 Primer & Matte Perfect Cover Foundation  Warm Caramel W320 25 ml,9To5 Primer & Matte Perfect Cover Foundation - Warm Caramel W320 25 ml-Neutral Nude.jpg,Neutral Nude,"[[204.90628853267572, 159.1707768187423, 127.66276202219483]]"
436,9To5 Primer & Matte Perfect Cover Foundation  Warm Caramel W320 25 ml,9To5 Primer & Matte Perfect Cover Foundation - Warm Caramel W320 25 ml-N220 Neutral Medium.jpg,N220 Neutral Medium,"[[212.36629213483147, 157.52808988764045, 119.98089887640448]]"
437,9To5 Primer & Matte Perfect Cover Foundation  Warm Caramel W320 25 ml,9To5 Primer & Matte Perfect Cover Foundation - Warm Caramel W320 25 ml-Warm Natural.jpg,Warm Natural,"[[219.85373924553278, 171.78160158835206, 131.1078755790867]]"
438,9To5 Primer & Matte Perfect Cover Foundation  Warm Caramel W320 25 ml,9To5 Primer & Matte Perfect Cover Foundation - Warm Caramel W320 25 ml-Cool Cinnamon.jpg,Cool Cinnamon,"[[206.06521739130437, 147.88768115942025, 108.19082125603866]]"
439,9To5 Primer & Matte Perfect Cover Foundation  Warm Caramel W320 25 ml,9To5 Primer & Matte Perfect Cover Foundation - Warm Caramel W320 25 ml-W240 Warm Beige.jpg,W240 Warm Beige,"[[204.43797468354427, 153.58481012658223, 114.1696202531645]]"
440,9To5 Primer & Matte Perfect Cover Foundation  Warm Caramel W320 25 ml,9To5 Primer & Matte Perfect Cover Foundation - Warm Caramel W320 25 ml-Neutral Honey.jpg,Neutral Honey,"[[199.0, 147.0, 112.0]]"
441,9To5 Primer & Matte Perfect Cover Foundation  Warm Caramel W320 25 ml,9To5 Primer & Matte Perfect Cover Foundation - Warm Caramel W320 25 ml-Cool Ivory.jpg,Cool Ivory,"[[243.82544861337684, 184.72104404567702, 155.25938009787927]]"
442,9To5 Primer & Matte Perfect Cover Foundation  Warm Caramel W320 25 ml,9To5 Primer & Matte Perfect Cover Foundation - Warm Caramel W320 25 ml-Warm Sand.jpg,Warm Sand,"[[228.81978798586573, 175.32508833922262, 140.41696113074204]]"
443,Hello Happy Air Stick Foundation  Light Warm 2,Hello Happy Air Stick Foundation - Light Warm 2-Medium Neutral 4.jpg,Medium Neutral 4,"[[235.0, 184.99999999999994, 136.0]]"
444,Hello Happy Air Stick Foundation  Light Warm 2,Hello Happy Air Stick Foundation - Light Warm 2-03 - Light Neutral.jpg, Light Neutral,"[[230.75784992017032, 191.3012240553486, 158.28525811601918]]"
445,Hello Happy Air Stick Foundation  Light Warm 2,Hello Happy Air Stick Foundation - Light Warm 2-Light Warm.jpg,Light Warm,"[[235.95114942528733, 195.51149425287355, 148.50191570881225]]"
446,Hello Happy Air Stick Foundation  Light Warm 2,Hello Happy Air Stick Foundation - Light Warm 2-09 - Deep Neutral Warm.jpg, Deep Neutral Warm,"[[199.09432234432236, 139.77564102564102, 96.98534798534796]]"
447,Hello Happy Air Stick Foundation  Light Warm 2,Hello Happy Air Stick Foundation - Light Warm 2-08 - Tan Warm.jpg, Tan Warm,"[[190.82198952879583, 135.14136125654449, 92.10471204188481]]"
448,Ace Of Face Foundation Stick 37 Freddo 12 g52 Corretto.jpg,Ace Of Face Foundation Stick 37 Freddo 12 g-52 Corretto.jpg,52 Corretto,"[[215.0, 168.0, 121.0]]"
449,Ace Of Face Foundation Stick 37 Freddo 12 g32 Cortado.jpg,Ace Of Face Foundation Stick 37 Freddo 12 g-32 Cortado.jpg,32 Cortado,"[[234.0, 190.0, 151.0]]"
450,Ace Of Face Foundation Stick 37 Freddo 12 g42 Glace.jpg,Ace Of Face Foundation Stick 37 Freddo 12 g-42 Glace.jpg,42 Glace,"[[229.0, 183.0, 143.0]]"
451,Ace Of Face Foundation Stick 37 Freddo 12 g15 Cappuccino.jpg,Ace Of Face Foundation Stick 37 Freddo 12 g-15 Cappuccino.jpg,15 Cappuccino,"[[236.0, 200.0, 184.0]]"
452,Ace Of Face Foundation Stick 37 Freddo 12 g37 Freddo.jpg,Ace Of Face Foundation Stick 37 Freddo 12 g-37 Freddo.jpg,37 Freddo,"[[236.04024144869214, 187.17706237424548, 149.49094567404427]]"
453,Ace Of Face Foundation Stick 37 Freddo 12 g30 Chococcino.jpg,Ace Of Face Foundation Stick 37 Freddo 12 g-30 Chococcino.jpg,30 Chococcino,"[[225.94736842105263, 185.0, 150.0]]"
454,Ace Of Face Foundation Stick 37 Freddo 12 g25 Macchiato.jpg,Ace Of Face Foundation Stick 37 Freddo 12 g-25 Macchiato.jpg,25 Macchiato,"[[220.51207729468598, 189.17149758454107, 150.8719806763285]]"
455,Paris Beige Infallible 24H Fresh Wear Foundation  Radiant Beige 150 30 ml,Paris Beige Infallible 24H Fresh Wear Foundation - Radiant Beige 150 30 ml-Golden Sun 260.jpg,Golden Sun 260,"[[198.0, 156.99999999999994, 127.0]]"
456,Paris Beige Infallible 24H Fresh Wear Foundation  Radiant Beige 150 30 ml,Paris Beige Infallible 24H Fresh Wear Foundation - Radiant Beige 150 30 ml-Radiant Sand.jpg,Radiant Sand,"[[218.0, 183.0, 153.0]]"
457,Paris Beige Infallible 24H Fresh Wear Foundation  Radiant Beige 150 30 ml,Paris Beige Infallible 24H Fresh Wear Foundation - Radiant Beige 150 30 ml-300 Amber.jpg,300 Amber,"[[198.0, 157.0, 125.0]]"
460,Double Wear StayIn,Double Wear Stay-In-Place SPF 10 Makeup Liquid Foundation - Tawny 3W1 15 ml-Shell.jpg,Shell,"[[201.19026548672568, 154.91740412979357, 118.35693215339236]]"
461,Double Wear StayIn,Double Wear Stay-In-Place SPF 10 Makeup Liquid Foundation - Tawny 3W1 15 ml-Mustard.jpg,Mustard,"[[191.0, 130.0390625, 62.0390625]]"
462,Double Wear StayIn,Double Wear Stay-In-Place SPF 10 Makeup Liquid Foundation - Tawny 3W1 15 ml-1W2 Sand.jpg,1W2 Sand,"[[212.97230464886252, 174.05143422354107, 130.10979228486647]]"
463,Double Wear StayIn,Double Wear Stay-In-Place SPF 10 Makeup Liquid Foundation - Tawny 3W1 15 ml-3W1 Tawny.jpg,3W1 Tawny,"[[191.93548387096774, 146.16129032258064, 87.38416422287389]]"
464,Double Wear StayIn,Double Wear Stay-In-Place SPF 10 Makeup Liquid Foundation - Tawny 3W1 15 ml-Tawny.jpg,Tawny,"[[191.8263069139966, 142.81112984822934, 87.0]]"
465,Double Wear StayIn,Double Wear Stay-In-Place SPF 10 Makeup Liquid Foundation - Tawny 3W1 15 ml-Cinnamon.jpg,Cinnamon,"[[168.0571679859279, 111.2198768689534, 61.139841688654364]]"
466,Double Wear StayIn,Double Wear Stay-In-Place SPF 10 Makeup Liquid Foundation - Tawny 3W1 15 ml-Buff.jpg,Buff,"[[246.52173913043478, 208.2826086956522, 168.69565217391303]]"
467,Double Wear StayIn,Double Wear Stay-In-Place SPF 10 Makeup Liquid Foundation - Tawny 3W1 15 ml-Honey Bronze.jpg,Honey Bronze,"[[175.77742616033754, 120.41244725738399, 56.68881856540082]]"
468,Double Wear StayIn,Double Wear Stay-In-Place SPF 10 Makeup Liquid Foundation - Tawny 3W1 15 ml-3W2 Cashew.jpg,3W2 Cashew,"[[210.09600000000003, 157.23400000000004, 77.75900000000001]]"
469,Double Wear StayIn,Double Wear Stay-In-Place SPF 10 Makeup Liquid Foundation - Tawny 3W1 15 ml-2W2 Rattan.jpg,2W2 Rattan,"[[206.37605804111246, 163.42321644498188, 99.0012091898428]]"
470,Double Wear StayIn,Double Wear Stay-In-Place SPF 10 Makeup Liquid Foundation - Tawny 3W1 15 ml-Rattan.jpg,Rattan,"[[187.0, 143.0, 77.0]]"
471,Double Wear StayIn,Double Wear Stay-In-Place SPF 10 Makeup Liquid Foundation - Tawny 3W1 15 ml-Warm Porcelain.jpg,Warm Porcelain,"[[246.74059405940596, 212.7267326732673, 172.90693069306937]]"
472,Double Wear StayIn,Double Wear Stay-In-Place SPF 10 Makeup Liquid Foundation - Tawny 3W1 15 ml-Porcelain.jpg,Porcelain,"[[227.89430894308944, 184.57607433217188, 151.2961672473868]]"
473,Double Wear StayIn,Double Wear Stay-In-Place SPF 10 Makeup Liquid Foundation - Tawny 3W1 15 ml-Sand.jpg,Sand,"[[201.06172839506172, 146.06172839506172, 74.32098765432097]]"
474,Double Wear StayIn,Double Wear Stay-In-Place SPF 10 Makeup Liquid Foundation - Tawny 3W1 15 ml-Spiced Sand.jpg,Spiced Sand,"[[169.869918699187, 115.22357723577237, 42.53252032520326]]"
475,Double Wear StayIn,Double Wear Stay-In-Place SPF 10 Makeup Liquid Foundation - Tawny 3W1 15 ml-Ivory Nude.jpg,Ivory Nude,"[[212.79661016949152, 168.0, 117.30508474576271]]"
476,Double Wear StayIn,Double Wear Stay-In-Place SPF 10 Makeup Liquid Foundation - Tawny 3W1 15 ml-Alabaster.jpg,Alabaster,"[[248.35032679738563, 215.2313725490196, 184.62091503267973]]"
477,Double Wear StayIn,Double Wear Stay-In-Place SPF 10 Makeup Liquid Foundation - Tawny 3W1 15 ml-Bone.jpg,Bone,"[[188.62203023758101, 138.91360691144712, 80.62850971922246]]"
478,Double Wear StayIn,Double Wear Stay-In-Place SPF 10 Makeup Liquid Foundation - Tawny 3W1 15 ml-Ivory Beige.jpg,Ivory Beige,"[[168.24545454545455, 125.24545454545455, 77.24545454545455]]"
479,Double Wear StayIn,Double Wear Stay-In-Place SPF 10 Makeup Liquid Foundation - Tawny 3W1 15 ml-Toasty Toffee.jpg,Toasty Toffee,"[[139.66233766233768, 94.16233766233768, 31.44805194805195]]"
480,Double Wear StayIn,Double Wear Stay-In-Place SPF 10 Makeup Liquid Foundation - Tawny 3W1 15 ml-NA.jpg,,"[[222.88888888888889, 176.88888888888889, 117.44444444444444]]"
481,Studio Fix SPF 15 Fluid Foundation  NC40 30ml,Studio Fix SPF 15 Fluid Foundation - NC40 30ml-Nw45.jpg,Nw45,"[[159.2345679012346, 83.83950617283948, 53.77777777777776]]"
482,Studio Fix SPF 15 Fluid Foundation  NC40 30ml,Studio Fix SPF 15 Fluid Foundation - NC40 30ml-Nc45.jpg,Nc45,"[[121.81481481481474, 68.79629629629628, 41.24074074074079]]"
483,Studio Fix SPF 15 Fluid Foundation  NC40 30ml,Studio Fix SPF 15 Fluid Foundation - NC40 30ml-Nc35.jpg,Nc35,"[[142.45679012345687, 91.74074074074086, 59.802469135802404]]"
484,Studio Fix SPF 15 Fluid Foundation  NC40 30ml,Studio Fix SPF 15 Fluid Foundation - NC40 30ml-Nc40.jpg,Nc40,"[[220.859450726979, 149.4200323101777, 95.36672051696284]]"
485,Studio Fix SPF 15 Fluid Foundation  NC40 30ml,Studio Fix SPF 15 Fluid Foundation - NC40 30ml-Nc30.jpg,Nc30,"[[254.42564102564103, 235.91794871794863, 211.28717948717977]]"
486,Studio Fix SPF 15 Fluid Foundation  NC40 30ml,Studio Fix SPF 15 Fluid Foundation - NC40 30ml-NC47.jpg,NC47,"[[176.0, 108.0, 69.0]]"
487,Studio Fix SPF 15 Fluid Foundation  NC40 30ml,Studio Fix SPF 15 Fluid Foundation - NC40 30ml-Nc25.jpg,Nc25,"[[230.1480144404332, 164.75812274368232, 114.88808664259928]]"
488,Studio Fix SPF 15 Fluid Foundation  NC40 30ml,Studio Fix SPF 15 Fluid Foundation - NC40 30ml-Nc42.jpg,Nc42,"[[237.07819905213276, 191.67061611374416, 159.8601895734597]]"
489,Studio Fix SPF 15 Fluid Foundation  NC40 30ml,Studio Fix SPF 15 Fluid Foundation - NC40 30ml-Nc15.jpg,Nc15,"[[221.63279445727488, 171.4688221709007, 136.1639722863742]]"
490,Studio Fix SPF 15 Fluid Foundation  NC40 30ml,Studio Fix SPF 15 Fluid Foundation - NC40 30ml-Nc18.jpg,Nc18,"[[242.6839546191248, 185.82820097244735, 131.58670988654782]]"
491,Studio Fix SPF 15 Fluid Foundation  NC40 30ml,Studio Fix SPF 15 Fluid Foundation - NC40 30ml-Nc12.jpg,Nc12,"[[245.26, 215.315, 171.23]]"
492,Studio Fix SPF 15 Fluid Foundation  NC40 30ml,Studio Fix SPF 15 Fluid Foundation - NC40 30ml-Nc20.jpg,Nc20,"[[221.79923203510697, 171.52386176631924, 128.68019747668677]]"
493,Studio Fix SPF 15 Fluid Foundation  NC40 30ml,Studio Fix SPF 15 Fluid Foundation - NC40 30ml-Nw35.jpg,Nw35,"[[194.75026232948582, 126.18467995802729, 87.10283315844703]]"
494,Hello Happy Velvet Powder Foundation  05,Hello Happy Velvet Powder Foundation - 05-Medium Tan Neutral 7.jpg,Medium Tan Neutral 7,"[[210.2409420289855, 158.96195652173913, 100.3804347826087]]"
495,Hello Happy Velvet Powder Foundation  05,Hello Happy Velvet Powder Foundation - 05-Medium Neutral Warm 5.jpg,Medium Neutral Warm 5,"[[227.2052505966587, 169.9904534606205, 116.54653937947495]]"
496,Rage For Coverage Light Warm Undertone 24Hr Foundation 10 Latte 25ml17 Raf.jpg,Rage For Coverage Light Warm Undertone 24Hr Foundation 10 Latte 25ml-17 Raf.jpg,17 Raf,"[[212.0, 180.0, 131.0]]"
497,Rage For Coverage Light Warm Undertone 24Hr Foundation 10 Latte 25ml52 Corretto.jpg,Rage For Coverage Light Warm Undertone 24Hr Foundation 10 Latte 25ml-52 Corretto.jpg,52 Corretto,"[[185.0, 131.0, 84.0]]"
498,Rage For Coverage Light Warm Undertone 24Hr Foundation 10 Latte 25ml15 Cappuccino.jpg,Rage For Coverage Light Warm Undertone 24Hr Foundation 10 Latte 25ml-15 Cappuccino.jpg,15 Cappuccino,"[[207.0, 160.0, 140.0]]"
499,Rage For Coverage Light Warm Undertone 24Hr Foundation 10 Latte 25ml42 Glace.jpg,Rage For Coverage Light Warm Undertone 24Hr Foundation 10 Latte 25ml-42 Glace.jpg,42 Glace,"[[198.0, 154.0, 96.0]]"
500,Rage For Coverage Light Warm Undertone 24Hr Foundation 10 Latte 25ml37 Freddo.jpg,Rage For Coverage Light Warm Undertone 24Hr Foundation 10 Latte 25ml-37 Freddo.jpg,37 Freddo,"[[222.0, 184.0, 128.0]]"
501,Rage For Coverage Light Warm Undertone 24Hr Foundation 10 Latte 25ml27 Vienna.jpg,Rage For Coverage Light Warm Undertone 24Hr Foundation 10 Latte 25ml-27 Vienna.jpg,27 Vienna,"[[212.0, 172.0, 132.0]]"
502,Rage For Coverage Light Warm Undertone 24Hr Foundation 10 Latte 25ml55 Americano.jpg,Rage For Coverage Light Warm Undertone 24Hr Foundation 10 Latte 25ml-55 Americano.jpg,55 Americano,"[[171.0, 124.0, 78.0]]"
503,Rage For Coverage Light Warm Undertone 24Hr Foundation 10 Latte 25ml07 Vanilla Latte.jpg,Rage For Coverage Light Warm Undertone 24Hr Foundation 10 Latte 25ml-07 Vanilla Latte.jpg,07 Vanilla Latte,"[[230.0, 197.0, 171.0]]"
504,Rage For Coverage Light Warm Undertone 24Hr Foundation 10 Latte 25ml20 Galao.jpg,Rage For Coverage Light Warm Undertone 24Hr Foundation 10 Latte 25ml-20 Galao.jpg,20 Galao,"[[201.0, 164.0, 117.0]]"
505,Rage For Coverage Light Warm Undertone 24Hr Foundation 10 Latte 25ml48 Irish.jpg,Rage For Coverage Light Warm Undertone 24Hr Foundation 10 Latte 25ml-48 Irish.jpg,48 Irish,"[[196.0, 146.0, 102.0]]"
506,Rage For Coverage Light Warm Undertone 24Hr Foundation 10 Latte 25ml40 Breve.jpg,Rage For Coverage Light Warm Undertone 24Hr Foundation 10 Latte 25ml-40 Breve.jpg,40 Breve,"[[202.0, 167.0, 114.0]]"
507,Rage For Coverage Light Warm Undertone 24Hr Foundation 10 Latte 25ml10 Latte.jpg,Rage For Coverage Light Warm Undertone 24Hr Foundation 10 Latte 25ml-10 Latte.jpg,10 Latte,"[[221.0, 191.0, 157.0]]"
508,Rage For Coverage Light Warm Undertone 24Hr Foundation 10 Latte 25ml35 Frappe.jpg,Rage For Coverage Light Warm Undertone 24Hr Foundation 10 Latte 25ml-35 Frappe.jpg,35 Frappe,"[[202.0, 171.0, 126.0]]"
509,Rage For Coverage Light Warm Undertone 24Hr Foundation 10 Latte 25ml32 Cortado.jpg,Rage For Coverage Light Warm Undertone 24Hr Foundation 10 Latte 25ml-32 Cortado.jpg,32 Cortado,"[[227.0, 185.0, 130.0]]"
511,Aquafeel Pro Foundation  Apple Crunch 05 30 ml,Aquafeel Pro Foundation - Apple Crunch 05 30 ml-Caramel Ice.jpg,Caramel Ice,"[[229.0, 195.0, 169.0]]"
512,Aquafeel Pro Foundation  Apple Crunch 05 30 ml,Aquafeel Pro Foundation - Apple Crunch 05 30 ml-Apple Crunch.jpg,Apple Crunch,"[[227.8374760994264, 195.7399617590822, 171.77820267686425]]"
513,Ace of Face Foundation Stick  15 Cappuccino ,Ace of Face Foundation Stick - 15 Cappuccino - Light - Cool Undertone-52 Corretto.jpg,52 Corretto,"[[215.0, 168.0, 121.0]]"
514,Ace of Face Foundation Stick  15 Cappuccino ,Ace of Face Foundation Stick - 15 Cappuccino - Light - Cool Undertone-32 Cortado.jpg,32 Cortado,"[[234.0, 190.0, 151.0]]"
515,Ace of Face Foundation Stick  15 Cappuccino ,Ace of Face Foundation Stick - 15 Cappuccino - Light - Cool Undertone-42 Glace.jpg,42 Glace,"[[229.0, 183.0, 143.0]]"
516,Ace of Face Foundation Stick  15 Cappuccino ,Ace of Face Foundation Stick - 15 Cappuccino - Light - Cool Undertone-15 Cappuccino.jpg,15 Cappuccino,"[[236.0, 200.0, 184.0]]"
517,Ace of Face Foundation Stick  15 Cappuccino ,Ace of Face Foundation Stick - 15 Cappuccino - Light - Cool Undertone-37 Freddo.jpg,37 Freddo,"[[236.04024144869214, 187.17706237424548, 149.49094567404427]]"
518,Ace of Face Foundation Stick  15 Cappuccino ,Ace of Face Foundation Stick - 15 Cappuccino - Light - Cool Undertone-30 Chococcino.jpg,30 Chococcino,"[[225.94736842105263, 185.0, 150.0]]"
519,Ace of Face Foundation Stick  15 Cappuccino ,Ace of Face Foundation Stick - 15 Cappuccino - Light - Cool Undertone-25 Macchiato.jpg,25 Macchiato,"[[220.51207729468598, 189.17149758454107, 150.8719806763285]]"
520,L'Oreal Paris Infallible 24H Fresh Wear Foundation  Radiant Sand 250 30ml,L'Oreal Paris Infallible 24H Fresh Wear Foundation - Radiant Sand 250 30ml-Golden Sun 260.jpg,Golden Sun 260,"[[198.0, 156.99999999999994, 127.0]]"
521,L'Oreal Paris Infallible 24H Fresh Wear Foundation  Radiant Sand 250 30ml,L'Oreal Paris Infallible 24H Fresh Wear Foundation - Radiant Sand 250 30ml-Radiant Sand.jpg,Radiant Sand,"[[218.0, 183.0, 153.0]]"
522,L'Oreal Paris Infallible 24H Fresh Wear Foundation  Radiant Sand 250 30ml,L'Oreal Paris Infallible 24H Fresh Wear Foundation - Radiant Sand 250 30ml-300 Amber.jpg,300 Amber,"[[198.0, 157.0, 125.0]]"
525,Studio Fix SPF15 Fluid Foundation  NC42 30ml,Studio Fix SPF15 Fluid Foundation - NC42 30ml-Nw45.jpg,Nw45,"[[159.2345679012346, 83.83950617283948, 53.77777777777776]]"
526,Studio Fix SPF15 Fluid Foundation  NC42 30ml,Studio Fix SPF15 Fluid Foundation - NC42 30ml-Nc45.jpg,Nc45,"[[121.81481481481474, 68.79629629629628, 41.24074074074079]]"
527,Studio Fix SPF15 Fluid Foundation  NC42 30ml,Studio Fix SPF15 Fluid Foundation - NC42 30ml-Nc35.jpg,Nc35,"[[142.45679012345687, 91.74074074074086, 59.802469135802404]]"
528,Studio Fix SPF15 Fluid Foundation  NC42 30ml,Studio Fix SPF15 Fluid Foundation - NC42 30ml-Nc40.jpg,Nc40,"[[220.859450726979, 149.4200323101777, 95.36672051696284]]"
529,Studio Fix SPF15 Fluid Foundation  NC42 30ml,Studio Fix SPF15 Fluid Foundation - NC42 30ml-Nc30.jpg,Nc30,"[[196.66361556064072, 139.59496567505718, 94.38672768878713]]"
530,Studio Fix SPF15 Fluid Foundation  NC42 30ml,Studio Fix SPF15 Fluid Foundation - NC42 30ml-NC47.jpg,NC47,"[[176.0, 108.0, 69.0]]"
531,Studio Fix SPF15 Fluid Foundation  NC42 30ml,Studio Fix SPF15 Fluid Foundation - NC42 30ml-Nc25.jpg,Nc25,"[[230.1480144404332, 164.75812274368232, 114.88808664259928]]"
532,Studio Fix SPF15 Fluid Foundation  NC42 30ml,Studio Fix SPF15 Fluid Foundation - NC42 30ml-Nc42.jpg,Nc42,"[[245.54026845637588, 207.45302013422827, 185.1275167785235]]"
533,Studio Fix SPF15 Fluid Foundation  NC42 30ml,Studio Fix SPF15 Fluid Foundation - NC42 30ml-Nc15.jpg,Nc15,"[[221.63279445727488, 171.4688221709007, 136.1639722863742]]"
534,Studio Fix SPF15 Fluid Foundation  NC42 30ml,Studio Fix SPF15 Fluid Foundation - NC42 30ml-Nc18.jpg,Nc18,"[[242.6839546191248, 185.82820097244735, 131.58670988654782]]"
535,Studio Fix SPF15 Fluid Foundation  NC42 30ml,Studio Fix SPF15 Fluid Foundation - NC42 30ml-Nc12.jpg,Nc12,"[[245.26, 215.315, 171.23]]"
536,Studio Fix SPF15 Fluid Foundation  NC42 30ml,Studio Fix SPF15 Fluid Foundation - NC42 30ml-Nc20.jpg,Nc20,"[[221.79923203510697, 171.52386176631924, 128.68019747668677]]"
537,Studio Fix SPF15 Fluid Foundation  NC42 30ml,Studio Fix SPF15 Fluid Foundation - NC42 30ml-Nw35.jpg,Nw35,"[[194.75026232948582, 126.18467995802729, 87.10283315844703]]"
538,HD Liquid Foundation  2.3 30ml,HD Liquid Foundation - 2.3 30ml-2.3.jpg,2,"[[165.76659167604052, 107.23847019122609, 78.02812148481435]]"
539,HD Liquid Foundation  2.3 30ml,HD Liquid Foundation - 2.3 30ml-1.5.jpg,1,"[[164.6938775510204, 110.1938775510204, 85.04591836734694]]"
540,HD Liquid Foundation  2.3 30ml,HD Liquid Foundation - 2.3 30ml-3.1.jpg,3,"[[173.15789473684208, 109.98245614035086, 73.63157894736842]]"
541,HD Liquid Foundation  2.3 30ml,HD Liquid Foundation - 2.3 30ml-3.jpg,3,"[[156.66057233704294, 101.05961844197138, 70.3362480127186]]"
543,Paris True Match Super Blendable Liquid Foundation  Honey N6 30 ml,Paris True Match Super Blendable Liquid Foundation - Honey N6 30 ml-Golden Cappuccino.jpg,Golden Cappuccino,"[[215.27007299270073, 163.17153284671534, 111.81021897810218]]"
544,Paris True Match Super Blendable Liquid Foundation  Honey N6 30 ml,Paris True Match Super Blendable Liquid Foundation - Honey N6 30 ml-Golden Sand.jpg,Golden Sand,"[[216.37113402061857, 172.82680412371133, 146.7360824742268]]"
545,Paris True Match Super Blendable Liquid Foundation  Honey N6 30 ml,Paris True Match Super Blendable Liquid Foundation - Honey N6 30 ml-Honey.jpg,Honey,"[[229.32600732600733, 184.5897435897436, 133.56043956043956]]"
546,Paris True Match Super Blendable Liquid Foundation  Honey N6 30 ml,Paris True Match Super Blendable Liquid Foundation - Honey N6 30 ml-Skincare.jpg,Skincare,"[[228.0, 202.0, 179.0]]"
547,Paris True Match Super Blendable Liquid Foundation  Honey N6 30 ml,Paris True Match Super Blendable Liquid Foundation - Honey N6 30 ml-Golden Amber.jpg,Golden Amber,"[[199.0, 146.0, 123.0]]"
548,Paris True Match Super Blendable Liquid Foundation  Honey N6 30 ml,Paris True Match Super Blendable Liquid Foundation - Honey N6 30 ml-Riche Sepia.jpg,Riche Sepia,"[[206.96835443037975, 169.6487341772152, 137.66772151898735]]"
549,Fast Base Stick Foundation  F10 6.2g,Fast Base Stick Foundation - F10 6.2g-F9.jpg,F9,"[[244.0, 190.0, 142.99999999999994]]"
550,Fast Base Stick Foundation  F10 6.2g,Fast Base Stick Foundation - F10 6.2g-F8.jpg,F8,"[[255.0, 193.0, 137.99999999999994]]"
551,Fast Base Stick Foundation  F10 6.2g,Fast Base Stick Foundation - F10 6.2g-F10.jpg,F10,"[[230.0, 175.0, 127.0]]"
552,9To5 Primer And Matte Perfect Cover Foundation  Cool Tan C280 25 ml,9To5 Primer And Matte Perfect Cover Foundation - Cool Tan C280 25 ml-Cool Tan C280.jpg,Cool Tan C280,"[[199.0, 146.0, 106.0]]"
553,9To5 Primer And Matte Perfect Cover Foundation  Cool Tan C280 25 ml,9To5 Primer And Matte Perfect Cover Foundation - Cool Tan C280 25 ml-Cool Rose C140.jpg,Cool Rose C140,"[[235.010764262648, 181.98062432723358, 147.0301399354144]]"
554,9To5 Primer And Matte Perfect Cover Foundation  Cool Tan C280 25 ml,9To5 Primer And Matte Perfect Cover Foundation - Cool Tan C280 25 ml-Warm Caramel.jpg,Warm Caramel,"[[195.0, 148.0, 102.0]]"
555,9To5 Primer And Matte Perfect Cover Foundation  Cool Tan C280 25 ml,9To5 Primer And Matte Perfect Cover Foundation - Cool Tan C280 25 ml-Neutral Nude.jpg,Neutral Nude,"[[204.90628853267572, 159.1707768187423, 127.66276202219483]]"
556,9To5 Primer And Matte Perfect Cover Foundation  Cool Tan C280 25 ml,9To5 Primer And Matte Perfect Cover Foundation - Cool Tan C280 25 ml-N220 Neutral Medium.jpg,N220 Neutral Medium,"[[212.36629213483147, 157.52808988764045, 119.98089887640448]]"
557,9To5 Primer And Matte Perfect Cover Foundation  Cool Tan C280 25 ml,9To5 Primer And Matte Perfect Cover Foundation - Cool Tan C280 25 ml-Warm Natural.jpg,Warm Natural,"[[219.85373924553278, 171.78160158835206, 131.1078755790867]]"
558,9To5 Primer And Matte Perfect Cover Foundation  Cool Tan C280 25 ml,9To5 Primer And Matte Perfect Cover Foundation - Cool Tan C280 25 ml-Cool Cinnamon.jpg,Cool Cinnamon,"[[206.06521739130437, 147.88768115942025, 108.19082125603866]]"
559,9To5 Primer And Matte Perfect Cover Foundation  Cool Tan C280 25 ml,9To5 Primer And Matte Perfect Cover Foundation - Cool Tan C280 25 ml-W240 Warm Beige.jpg,W240 Warm Beige,"[[204.43797468354427, 153.58481012658223, 114.1696202531645]]"
560,9To5 Primer And Matte Perfect Cover Foundation  Cool Tan C280 25 ml,9To5 Primer And Matte Perfect Cover Foundation - Cool Tan C280 25 ml-Neutral Honey.jpg,Neutral Honey,"[[199.0, 147.0, 112.0]]"
561,9To5 Primer And Matte Perfect Cover Foundation  Cool Tan C280 25 ml,9To5 Primer And Matte Perfect Cover Foundation - Cool Tan C280 25 ml-Cool Ivory.jpg,Cool Ivory,"[[243.82544861337684, 184.72104404567702, 155.25938009787927]]"
